Index,Time,velocity,voltage
253,0.506255,0,0
254,0.508248,0,0
255,0.510250,0,0
256,0.512251,0,0
257,0.514275,0,0
258,0.516254,0,0
259,0.518274,0,0
260,0.520302,0,0
261,0.522495,0,0
262,0.524279,0,0
263,0.526268,0,0
264,0.528449,0,0
265,0.530276,0,0
266,0.532457,0,0
267,0.534483,0,0
268,0.536271,0,0
269,0.538270,0,0
270,0.540270,0,0
271,0.542341,0,0
272,0.544311,0,0
273,0.546528,0,0
274,0.548279,0,0
275,0.550273,0,0
276,0.552279,0,0
277,0.554271,0,0
278,0.556537,0,0
279,0.558269,0,0
280,0.560444,0,0
281,0.562312,0,0
282,0.564342,0,0
283,0.566274,0,0
284,0.568389,0,0
285,0.570272,0,0
286,0.572278,0,0
287,0.574271,0,0
288,0.576424,0,0
289,0.578274,0,0
290,0.580415,0,0
291,0.582275,0,0
292,0.584549,0,0
293,0.586279,0,0
294,0.588493,0,0
295,0.590272,0,0
296,0.592491,0,0
297,0.594275,0,0
298,0.596302,0,0
299,0.598306,0,0
300,0.600269,0,0
301,0.602273,0,0
302,0.604502,0,0
303,0.606313,0,0
304,0.608414,0,0
305,0.610274,0,0
306,0.612276,0,0
307,0.614309,0,0
308,0.616270,0,0
309,0.618251,0,0
310,0.620253,0,0
311,0.622254,0,0
312,0.624274,0,0
313,0.626254,0,0
314,0.628259,0,0
315,0.630249,0,0
316,0.632251,0,0
317,0.634253,0,0
318,0.636275,0,0
319,0.638442,0,0
320,0.640270,0,0
321,0.642367,0,0
322,0.644271,0,0
323,0.646273,0,0
324,0.648309,0,0
325,0.650307,0,0
326,0.652310,0,0
327,0.654277,0,0
328,0.656274,0,0
329,0.658304,0,0
330,0.660302,0,0
331,0.662532,0,0
332,0.664451,0,0
333,0.666278,0,0
334,0.668272,0,0
335,0.670303,0,0
336,0.672482,0,0
337,0.674272,0,0
338,0.676313,0,0
339,0.678276,0,0
340,0.680383,0,0
341,0.682307,0,0
342,0.684399,0,0
343,0.686276,0,0
344,0.688276,0,0
345,0.690303,0,0
346,0.692336,0,0
347,0.694272,0,0
348,0.696305,0,0
349,0.698307,0,0
350,0.700276,0,0
351,0.702303,0,0
352,0.704275,0,0
353,0.706485,0,0
354,0.708274,0,0
355,0.710276,0,0
356,0.712293,0,0
357,0.714272,0,0
358,0.716313,0,0
359,0.718269,0,0
360,0.720304,0,0
361,0.722311,0,0
362,0.724270,0,0
363,0.726269,0,0
364,0.728493,0,0
365,0.730344,0,0
366,0.732271,0,0
367,0.734279,0,0
368,0.736313,0,0
369,0.738278,0,0
370,0.740279,0,0
371,0.742518,0,0
372,0.744525,0,0
373,0.746304,0,0
374,0.748280,0,0
375,0.750270,0,0
376,0.752303,0,0
377,0.754269,0,0
378,0.756308,0,0
379,0.758547,0,0
380,0.760269,0,0
381,0.762326,0,0
382,0.764277,0,0
383,0.766272,0,0
384,0.768253,0,0
385,0.770255,0,0
386,0.772257,0,0
387,0.774278,0,0
388,0.776258,0,0
389,0.778251,0,0
390,0.780252,0,0
391,0.782254,0,0
392,0.784256,0,0
393,0.786279,0,0
394,0.788249,0,0
395,0.790397,0,0
396,0.792279,0,0
397,0.794309,0,0
398,0.796273,0,0
399,0.798279,0,0
400,0.800270,0,0
401,0.802277,0,0
402,0.804271,0,0
403,0.806273,0,0
404,0.808269,0,0
405,0.810305,0,0
406,0.812526,0,0
407,0.814293,0,0
408,0.816278,0,0
409,0.818277,0,0
410,0.820513,0,0
411,0.822274,0,0
412,0.824306,0,0
413,0.826302,0,0
414,0.828310,0,0
415,0.830273,0,0
416,0.832305,0,0
417,0.834327,0,0
418,0.836307,0,0
419,0.838505,0,0
420,0.840271,0,0
421,0.842272,0,0
422,0.844278,0,0
423,0.846279,0,0
424,0.848297,0,0
425,0.850305,0,0
426,0.852276,0,0
427,0.854270,0,0
428,0.856272,0,0
429,0.858274,0,0
430,0.860273,0,0
431,0.862304,0,0
432,0.864308,0,0
433,0.866304,0,0
434,0.868273,0,0
435,0.870275,0,0
436,0.872550,0,0
437,0.874275,0,0
438,0.876518,0,0
439,0.878276,0,0
440,0.880275,0,0
441,0.882308,0,0
442,0.884526,0,0
443,0.886303,0,0
444,0.888270,0,0
445,0.890471,0,0
446,0.892274,0,0
447,0.894276,0,0
448,0.896271,0,0
449,0.898307,0,0
450,0.900499,0,0
451,0.902391,0,0
452,0.904275,0,0
453,0.906278,0,0
454,0.908334,0,0
455,0.910493,0,0
456,0.912278,0,0
457,0.914481,0,0
458,0.916278,0,0
459,0.918269,0,0
460,0.920510,0,0
461,0.922270,0,0
462,0.924430,0,0
463,0.926279,0,0
464,0.928269,0,0
465,0.930309,0,0
466,0.932269,0,0
467,0.934309,0,0
468,0.936368,0,0
469,0.938510,0,0
470,0.940272,0,0
471,0.942276,0,0
472,0.944278,0,0
473,0.946258,0,0
474,0.948250,0,0
475,0.950252,0,0
476,0.952307,0,0
477,0.954253,0,0
478,0.956255,0,0
479,0.958258,0,0
480,0.960249,0,0
481,0.962251,0,0
482,0.964271,0,0
483,0.966274,0,0
484,0.968412,0,0
485,0.970277,0,0
486,0.972352,0,0
487,0.974279,0,0
488,0.976395,0,0
489,0.978401,0,0
490,0.980533,0,0
491,0.982271,0,0
492,0.984303,0,0
493,0.986277,0,0
494,0.988414,0,0
495,0.990277,0,0
496,0.992312,0,0
497,0.994278,0,0
498,0.996278,0,0
499,0.998304,0,0
500,1.000269,0,0
501,1.002278,0,0
502,1.004299,0,0
503,1.006512,0,0
504,1.008270,0,0
505,1.010278,0,0
506,1.012306,0,0
507,1.014274,0,0
508,1.016276,0,0
509,1.018273,0,0
510,1.020270,0,0
511,1.022278,0,0
512,1.024548,0,0
513,1.026276,0,0
514,1.028415,0,0
515,1.030572,0,0
516,1.032450,0,0
517,1.034270,0,0
518,1.036360,0,0
519,1.038274,0,0
520,1.040279,0,0
521,1.042428,0,0
522,1.044283,0,0
523,1.046296,0,0
524,1.048335,0,0
525,1.050274,0,0
526,1.052273,0,0
527,1.054307,0,0
528,1.056442,0,0
529,1.058305,0,0
530,1.060351,0,0
531,1.062298,0,0
532,1.064356,0,0
533,1.066404,0,0
534,1.068459,0,0
535,1.070539,0,0
536,1.072269,0,0
537,1.074460,0,0
538,1.076306,0,0
539,1.078275,0,0
540,1.080275,0,0
541,1.082277,0,0
542,1.084517,0,0
543,1.086535,0,0
544,1.088368,0,0
545,1.090278,0,0
546,1.092272,0,0
547,1.094341,0,0
548,1.096557,0,0
549,1.098275,0,0
550,1.100312,0,0
551,1.102528,0,0
552,1.104270,0,0
553,1.106279,0,0
554,1.108307,0,0
555,1.110496,0,0
556,1.112273,0,0
557,1.114516,0,0
558,1.116280,0,0
559,1.118249,0,0
560,1.120268,0,0
561,1.122259,0,0
562,1.124249,0,0
563,1.126251,0,0
564,1.128255,0,0
565,1.130317,0,0
566,1.132251,0,0
567,1.134252,0,0
568,1.136254,0,0
569,1.138258,0,0
570,1.140249,0,0
571,1.142274,0,0
572,1.144253,0,0
573,1.146278,0,0
574,1.148279,0,0
575,1.150497,0,0
576,1.152289,0,0
577,1.154343,0,0
578,1.156279,0,0
579,1.158308,0,0
580,1.160308,0,0
581,1.162487,0,0
582,1.164302,0,0
583,1.166306,0,0
584,1.168438,0,0
585,1.170272,0,0
586,1.172268,0,0
587,1.174277,0,0
588,1.176313,0,0
589,1.178350,0,0
590,1.180394,0,0
591,1.182270,0,0
592,1.184301,0,0
593,1.186531,0,0
594,1.188306,0,0
595,1.190310,0,0
596,1.192458,0,0
597,1.194448,0,0
598,1.196275,0,0
599,1.198530,0,0
600,1.200273,0,0
601,1.202400,0,0
602,1.204462,0,0
603,1.206279,0,0
604,1.208276,0,0
605,1.210476,0,0
606,1.212271,0,0
607,1.214270,0,0
608,1.216311,0,0
609,1.218435,0,0
610,1.220278,0,0
611,1.222276,0,0
612,1.224273,0,0
613,1.226417,0,0
614,1.228311,0,0
615,1.230480,0,0
616,1.232312,0,0
617,1.234370,0,0
618,1.236303,0,0
619,1.238359,0,0
620,1.240273,0,0
621,1.242374,0,0
622,1.244278,0,0
623,1.246296,0,0
624,1.248273,0,0
625,1.250274,0,0
626,1.252463,0,0
627,1.254446,0,0
628,1.256303,0,0
629,1.258270,0,0
630,1.260270,0,0
631,1.262269,0,0
632,1.264458,0,0
633,1.266304,0,0
634,1.268273,0,0
635,1.270273,0,0
636,1.272273,0,0
637,1.274269,0,0
638,1.276507,0,0
639,1.278309,0,0
640,1.280519,0,0
641,1.282276,0,0
642,1.284321,0,0
643,1.286273,0,0
644,1.288437,0,0
645,1.290305,0,0
646,1.292339,0,0
647,1.294270,0,0
648,1.296440,0,0
649,1.298306,0,0
650,1.300490,0,0
651,1.302310,0,0
652,1.304309,0,0
653,1.306279,0,0
654,1.308273,0,0
655,1.310311,0,0
656,1.312271,0,0
657,1.314250,0,0
658,1.316276,0,0
659,1.318257,0,0
660,1.320275,0,0
661,1.322254,0,0
662,1.324256,0,0
663,1.326258,0,0
664,1.328250,0,0
665,1.330306,0,0
666,1.332255,0,0
667,1.334268,0,0
668,1.336436,0,0
669,1.338502,0,0
670,1.340269,0,0
671,1.342311,0,0
672,1.344270,0,0
673,1.346279,0,0
674,1.348304,0,0
675,1.350311,0,0
676,1.352435,0,0
677,1.354277,0,0
678,1.356436,0,0
679,1.358312,0,0
680,1.360503,0,0
681,1.362270,0,0
682,1.364320,0,0
683,1.366308,0,0
684,1.368470,0,0
685,1.370302,0,0
686,1.372277,0,0
687,1.374277,0,0
688,1.376309,0,0
689,1.378413,0,0
690,1.380541,0,0
691,1.382309,0,0
692,1.384469,0,0
693,1.386274,0,0
694,1.388273,0,0
695,1.390419,0,0
696,1.392271,0,0
697,1.394414,0,0
698,1.396275,0,0
699,1.398313,0,0
700,1.400312,0,0
701,1.402271,0,0
