Index,Time,voltage,velocity
160,0.319980,14961,0.255975932
161,0.322004,14027,0.226147622
162,0.323983,17509,0.200580493
163,0.325985,-14358,0.171817482
164,0.327987,2020,0.192058116
165,0.329989,-5414,0.248518854
166,0.332090,15796,0.295391947
167,0.333980,-15563,0.318828493
168,0.335982,-7790,0.331612021
169,0.337984,-12395,0.341199696
170,0.339985,-4263,0.329481423
171,0.342078,-1424,0.298587829
172,0.343980,-17761,0.255975932
173,0.345983,-17363,0.238931194
174,0.347985,-6440,0.175013378
175,0.349987,-6935,0.0940508097
176,0.352002,-7150,0.0493083298
177,0.354007,17573,-0.0263277497
178,0.355986,17083,-0.0966373459
179,0.357988,-4337,-0.162685767
180,0.359978,142,-0.229799479
181,0.361983,4677,-0.197840557
182,0.364001,-9911,-0.110486202
183,0.365980,10366,-0.0870496705
184,0.367982,6282,-0.0795925856
185,0.369984,17056,-0.00928299688
186,0.371987,-8102,-0.0263277497
187,0.374012,-7960,-0.0881149694
188,0.375998,16134,-0.00289121573
189,0.377989,6606,0.0780713558
190,0.379979,6998,0.0546348169
191,0.381984,-16461,0.0407859571
192,0.383986,-7689,0.129205599
193,0.386007,-12902,0.164360404
194,0.387986,-5949,0.11855264
195,0.389988,1342,0.149446249
196,0.391980,13820,0.159033909
197,0.393983,2579,0.0525042228
198,0.395985,8632,-0.0486989841
199,0.398005,-15253,-0.0231318586
200,0.399985,-5486,0.0141535345
201,0.401989,1820,-0.0167400762
202,0.403979,-13061,0.0301329885
203,0.405981,-11507,0.0770060569
204,0.408009,7637,0.0130882384
205,0.410002,8408,-0.029523639
206,0.411985,-3377,-0.0444377959
207,0.413986,2686,-0.126465648
208,0.415989,11590,-0.143510416
209,0.418005,-2472,-0.0955720469
210,0.419984,7387,-0.104094416
211,0.421988,-6876,-0.113682091
212,0.423979,-12697,-0.0753314048
213,0.425981,1020,0.00456586294
214,0.428036,10264,-0.0305889361
215,0.429989,-329,0.00456586294
216,0.431981,6349,0.0013699719
217,0.433983,-9093,-0.0327195302
218,0.435985,5264,-0.0433725007
219,0.437987,-13589,-0.00395651255
220,0.440082,-14062,-0.0156747792
221,0.441984,-16171,-0.00608710665
222,0.443986,3005,0.0120229414
223,0.445988,6195,-0.0188706703
224,0.447979,-4135,-0.11474739
225,0.449981,4048,-0.175469324
226,0.452003,-61,-0.193579376
227,0.453983,16942,-0.198905855
228,0.455985,3266,-0.242583036
229,0.457987,16627,-0.205297649
230,0.459989,8849,-0.161620468
231,0.461999,-5639,-0.136053324
232,0.463979,-8405,-0.119008578
233,0.466004,-17256,-0.0540254675
234,0.467983,15961,0.038655363
235,0.469985,-17729,0.0716795698
236,0.472003,-16769,0.0546348169
237,0.473982,-8618,0.041851256
238,0.475983,-11677,0.0130882384
239,0.477985,4041,-0.0263277497
240,0.479988,-14827,-0.11474739
241,0.482009,-5115,-0.178665221
242,0.483988,2742,-0.192514077
243,0.485979,-1027,-0.272411346
244,0.487981,7279,-0.340590328
245,0.489983,-6596,-0.354439199
246,0.491987,8493,-0.367222756
247,0.494000,14007,-0.383202225
248,0.495979,2444,-0.390659302
249,0.497982,5700,-0.36296156
250,0.499983,10871,-0.344851524
251,0.501987,10902,-0.315023184
252,0.504008,16648,-0.256431878
253,0.505987,13047,-0.220211789
254,0.507989,-6048,-0.173338726
255,0.509979,-6412,-0.0977026448
256,0.511984,437,-0.0284583438
257,0.514005,6349,0.042916555
258,0.515984,-10607,0.111095563
259,0.518101,17930,0.126009718
260,0.519979,-9660,0.110030264
261,0.521983,3994,0.115356743
262,0.524001,-15604,0.103638478
263,0.525980,-9193,0.0876590312
264,0.527982,9187,0.135597393
265,0.529983,-16666,0.141989157
266,0.531988,-6452,0.097246699
267,0.533999,-2796,0.0557001121
268,0.535979,10239,0.0471777394
269,0.537980,-657,0.0120229414
270,0.539982,4427,-0.0774620026
271,0.541986,5900,-0.0966373459
272,0.543988,11723,-0.0657437369
273,0.546003,3684,-0.0849190801
274,0.547982,17484,-0.10942091
275,0.549984,-12881,-0.0327195302
276,0.551988,15558,0.0216106139
277,0.553979,9472,0.0184147228
278,0.556001,-14970,0.0706142709
279,0.557980,-16903,0.161164507
280,0.559981,-15722,0.157968611
281,0.561985,-2165,0.186731637
282,0.563987,-8296,0.243192375
283,0.565989,17769,0.168621585
284,0.567999,17053,0.0738101676
285,0.569978,14358,0.0407859571
286,0.571982,1170,-0.0337848291
287,0.574163,-17678,-0.094506748
288,0.575984,-6444,0.00669645658
289,0.578006,13935,0.117487341
290,0.579985,-13494,0.128140315
291,0.581978,-14109,0.14838095
292,0.583980,9853,0.164360404
293,0.585982,11186,0.137727976
294,0.587984,-9977,0.0770060569
295,0.590006,-8336,0.00669645658
296,0.591987,17702,0.00350056589
297,0.593978,-11725,0.0525042228
298,0.595979,12381,0.0152188325
299,0.597981,-1585,-0.0423072018
300,0.600003,15427,0.0258718003
301,0.601984,10217,0.0727448687
302,0.603986,-7290,-0.0167400762
303,0.605988,12458,0.0120229414
304,0.607978,6902,0.130270898
305,0.610003,-5748,0.147315651
306,0.611984,6600,0.134532094
307,0.613986,-10372,0.205906972
308,0.615988,6870,0.281543076
309,0.617980,7524,0.239996493
310,0.620008,-11498,0.216559947
311,0.621989,2048,0.300718427
312,0.623979,-14061,0.265563607
313,0.625982,-10950,0.203776374
