Index,Time,motor1Vel,motor2Vel,motor3Vel,motor4Vel,subsystems::current
7289,72.891600,-927.817078,-941.535339,-846.449829,-937.451294,-0.322621405
7290,72.901617,-929.283142,-940.697571,-844.983704,-937.241882,-0.322288275
7291,72.911616,-926.665161,-941.535339,-841.213806,-935.461609,-0.322021723
7292,72.921624,-926.665161,-940.488159,-844.774292,-934.309692,-0.321688592
7293,72.931621,-924.047119,-940.069275,-844.774292,-932.634155,-0.321355462
7294,72.941747,-924.675476,-939.859802,-842.365784,-934.309692,-0.320955634
7295,72.951604,-923.837708,-940.069275,-843.622375,-936.299377,-0.320689142
7296,72.961626,-924.256592,-942.477783,-840.794922,-936.508789,-0.320356011
7297,72.971622,-923.209351,-940.278687,-840.166626,-937.241882,-0.320022821
7298,72.981624,-920.800842,-942.477783,-842.051575,-934.833252,-0.319689691
7299,72.991623,-921.010315,-940.907043,-841.213806,-935.671021,-0.319356561
7300,73.001600,-918.392273,-942.896667,-839.643005,-933.890808,-0.319023371
7301,73.011624,-919.230042,-940.697571,-840.376038,-934.833252,-0.31869024
7302,73.021620,-917.240356,-942.687256,-839.224182,-934.309692,-0.31835711
7303,73.031625,-915.774292,-941.116455,-838.805298,-935.461609,-0.31802392
7304,73.041624,-916.821472,-942.268372,-840.58551,-934.100281,-0.31769079
7305,73.051601,-917.240356,-940.697571,-837.234436,-935.880493,-0.317357659
7306,73.061620,-914.831848,-940.278687,-836.396667,-935.252136,-0.317024469
7307,73.071622,-915.250732,-940.278687,-836.60614,-936.508789,-0.316691339
7308,73.081620,-911.376038,-940.907043,-835.349487,-936.299377,-0.316358209
7309,73.091622,-913.575195,-941.325928,-836.815552,-935.880493,-0.316025019
7310,73.101625,-911.376038,-941.116455,-839.224182,-934.100281,-0.315691888
7311,73.111602,-913.051575,-940.697571,-835.349487,-934.100281,-0.315358758
7312,73.121616,-910.014709,-940.697571,-835.035339,-932.424744,-0.315025568
7313,73.131620,-911.794922,-940.278687,-835.558899,-934.309692,-0.314692438
7314,73.141626,-910.014709,-940.278687,-830.008789,-934.309692,-0.314359307
7315,73.151624,-910.957153,-943.525024,-833.569275,-937.241882,-0.314026117
7316,73.161626,-907.815552,-938.498474,-833.988159,-937.451294,-0.313692987
7317,73.171603,-906.768372,-942.477783,-829.589905,-938.079651,-0.313359857
7318,73.181616,-907.187256,-939.12677,-832.940979,-935.461609,-0.313026667
7319,73.191616,-904.778687,-942.058899,-832.417358,-936.508789,-0.312693536
7320,73.201626,-905.407043,-939.859802,-830.741882,-934.309692,-0.312360406
7321,73.211625,-902.998474,-942.058899,-831.789063,-935.461609,-0.312027216
7322,73.221601,-904.150391,-940.697571,-829.380493,-935.461609,-0.311694086
7323,73.231622,-902.370178,-940.697571,-829.171021,-935.252136,-0.311360955
7324,73.241621,-903.417358,-940.697571,-831.998474,-935.461609,-0.311027765
7325,73.251726,-900.799377,-940.069275,-830.218201,-936.718201,-0.310694635
7326,73.261620,-901.218201,-940.278687,-825.610535,-935.042725,-0.310361505
7327,73.271597,-899.12384,-940.278687,-828.961609,-935.880493,-0.310028315
7328,73.281622,-899.12384,-940.278687,-827.809692,-934.833252,-0.309695184
7329,73.291620,-898.600281,-940.278687,-826.134155,-934.309692,-0.309362054
7330,73.301618,-894.934998,-941.116455,-827.600281,-934.100281,-0.309028864
7331,73.311621,-895.353882,-940.488159,-825.401123,-936.508789,-0.308695734
7332,73.321625,-893.783142,-939.12677,-824.14447,-934.62384,-0.308362603
7333,73.331622,-895.353882,-940.697571,-826.762512,-938.079651,-0.308029413
7334,73.341599,-893.573669,-938.917358,-826.55304,-937.660767,-0.307696283
7335,73.351626,-893.573669,-941.849487,-823.202026,-936.089905,-0.307363153
7336,73.361627,-892.107605,-940.488159,-825.19165,-937.03241,-0.307029963
7337,73.371619,-891.165161,-942.687256,-823.934998,-935.042725,-0.306696832
7338,73.381617,-892.945374,-940.697571,-822.573669,-934.309692,-0.306363702
7339,73.391623,-889.384888,-942.687256,-824.563354,-934.309692,-0.306030512
7340,73.401599,-890.746277,-939.859802,-822.783142,-933.05304,-0.305697381
7341,73.411626,-887.499939,-941.849487,-819.95575,-933.890808,-0.305364251
7342,73.421617,-889.699097,-940.907043,-821.735962,-935.252136,-0.305031061
7343,73.431625,-888.547119,-939.859802,-819.536865,-937.03241,-0.304697931
7344,73.441626,-887.918823,-941.325928,-819.536865,-937.241882,-0.3043648
7345,73.451617,-887.918823,-940.488159,-822.154846,-937.870178,-0.30403161
7346,73.461622,-884.567749,-941.535339,-820.793518,-936.508789,-0.30369848
7347,73.471622,-886.976379,-942.058899,-817.128235,-935.252136,-0.30336535
7348,73.481626,-883.311157,-943.315552,-820.793518,-934.62384,-0.30303216
7349,73.491602,-884.881958,-942.268372,-820.165161,-933.262512,-0.302699029
7350,73.501626,-883.939453,-942.268372,-816.499939,-935.461609,-0.302365899
7351,73.511617,-880.693176,-939.859802,-818.384888,-936.718201,-0.302032709
7352,73.521618,-885.091431,-941.849487,-819.536865,-937.241882,-0.301766217
7353,73.531621,-882.6828,-940.278687,-815.557495,-937.660767,-0.301433027
7354,73.541617,-880.483704,-940.488159,-817.756592,-935.461609,-0.301099896
7355,73.551623,-880.902588,-941.535339,-818.699097,-935.461609,-0.300766766
7356,73.561617,-877.865784,-940.907043,-818.908508,-936.089905,-0.300433576
7357,73.571605,-879.54126,-942.058899,-812.101685,-935.252136,-0.300100446
7358,73.581616,-877.551575,-940.907043,-812.730042,-936.089905,-0.299767315
7359,73.591621,-875.876038,-941.116455,-814.091431,-935.042725,-0.299434125
7360,73.601616,-877.865784,-940.907043,-811.892273,-936.089905,-0.299100995
7361,73.611603,-874.724182,-940.907043,-812.520569,-934.833252,-0.298767865
7362,73.621625,-878.075195,-941.325928,-813.777222,-936.718201,-0.298434675
7363,73.631616,-876.504333,-941.535339,-809.483704,-934.833252,-0.298101544
7364,73.641617,-877.342102,-940.697571,-809.693176,-934.833252,-0.297768414
7365,73.651620,-875.666626,-940.907043,-814.510315,-935.252136,-0.297435224
7366,73.661621,-872.315552,-940.488159,-812.730042,-935.042725,-0.297102094
7367,73.671599,-874.095825,-940.907043,-809.483704,-935.252136,-0.296768963
7368,73.681621,-870.325928,-943.10614,-810.530945,-935.671021,-0.296435773
7369,73.691618,-870.535339,-939.650391,-810.112061,-934.833252,-0.296102643
7370,73.701620,-871.058899,-943.10614,-806.865784,-938.079651,-0.295769513
7371,73.711625,-868.440979,-940.278687,-810.321472,-937.03241,-0.295436323
7372,73.721620,-870.849487,-943.525024,-810.740356,-937.870178,-0.295103192
7373,73.731596,-867.707947,-940.278687,-807.075195,-935.671021,-0.294770062
